Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2020-01-02,67.9652328491211,67.9652328491211,66.86333571006601,66.9586787875548,27278000
2020-01-03,67.60968017578125,68.21699501628234,66.90454453964605,66.9383158243975,23408000
2020-01-06,69.4117660522461,69.43708883609668,67.08729816087028,67.11857657252054,46768000
2020-01-07,69.27767181396484,69.69430045894913,69.1013898202291,69.543341242908,34330000
2020-01-08,69.77078247070312,70.10894997178289,69.15453414305767,69.26328117365361,35314000
2020-01-09,70.50322723388672,70.94467861110725,70.02750448166115,70.6094889546629,33200000
2020-01-10,70.95858764648438,71.25554310798687,70.49379866523805,70.98391800569446,26258000
2020-01-13,71.50829315185547,71.58029107177933,70.78031249992908,71.27092429925027,30730000
2020-01-14,71.0395278930664,71.63740160436679,70.89948731348015,71.50680213300282,26076000
2020-01-15,71.46709442138672,71.54555565887044,71.09267785074252,71.16021285892141,21550000
2020-01-16,72.01133728027344,72.03815275975688,71.50681377041046,71.77744628827148,26080000
2020-01-17,73.46926879882812,73.52041445228143,72.32863737834732,72.626085344564,52424000
2020-01-21,73.60484313964844,73.9837301623698,73.00696178186003,73.44345017940596,48930000
2020-01-22,73.6852798461914,74.51505937450915,73.6252007502099,73.97627967986148,28458000
2020-01-23,73.72599792480469,74.16348648276097,73.50899638662688,73.86802372289836,26650000
2020-01-24,72.80635070800781,74.19824756618672,72.65786918227317,74.12971996265826,29786000
2020-01-27,71.09615325927734,71.33699250078811,70.48883829793303,71.08671972598552,34132000
2020-01-28,72.02821350097656,72.24173713836646,71.02810757836856,71.59321023544943,29724000
2020-01-29,72.33609008789062,72.70554357944198,71.77446531610946,72.42348475495831,21566000
2020-01-30,72.21443176269531,72.26408472389092,71.25852322835154,71.41246028918627,27110000
2020-01-31,71.14828491210938,72.98014809578615,70.8642408722417,72.89026812670592,43822000
2020-02-03,73.6222152709961,73.80595319465691,72.33161718194921,72.58188991973289,71636000
2020-02-04,71.77545166015625,72.86443730740805,70.61446051188975,72.22634415188331,95880000
2020-02-05,71.8072280883789,72.72738001725605,70.99433806026747,72.6792121800727,36376000
2020-02-06,73.29298400878906,73.57057229670284,72.02721627071665,72.1016994935962,37822000
2020-02-07,73.44892120361328,73.75381754289155,72.7686157058186,72.86693661087277,28360000
2020-02-10,74.91629028320312,74.92721651036499,73.25475361833762,73.35555980846348,38302000
2020-02-11,74.9858169555664,75.97003370117069,74.7568965647971,75.14521713630961,34852000
2020-02-12,75.41138458251953,75.49430874131542,74.91679471215745,75.27382928475085,31042000
2020-02-13,75.15118408203125,75.77488079404449,74.68489477219461,74.98284287407141,22914000
2020-02-14,75.41635131835938,75.48190111121941,74.76186114868284,75.20779068392721,23198000
